date,tempC,tempF,humid,heatindex
20121112,7.5,45.6,65,7.53
20121113,5.8,42.4,57.8,5.77
20121114,2.5,36.5,52.2,2.48
20121115,4.1,39.4,52.2,4.13
20121116,4.7,40.5,71.1,4.7
20121117,5.7,42.2,63.5,5.69
20121118,3.4,38.2,46,3.43
20121119,3.7,38.7,63.2,3.72
20121120,1.7,35.1,52.1,1.71
20121121,3.8,38.8,62.1,3.77
20121122,6.4,43.6,69,6.43
20121123,3.8,38.8,63.1,3.8
20121124,1.6,34.9,47.3,1.63
20121125,3.2,37.8,52.4,3.22
20121126,2.6,36.7,56,2.64
20121127,1.7,35.1,38.6,1.75
20121128,5.4,41.7,52.4,5.39
20121129,0.9,33.5,35.3,0.85
20121130,1.8,35.3,47.8,1.82
20121201,-1.2,29.8,49.3,-1.22
20121202,3,37.4,49.5,2.98
20121203,2.2,35.9,66.6,2.15
20121204,-3.1,26.5,41.6,-3.05
20121205,-3.5,25.7,64.9,-3.52
20121206,-6.3,20.7,50.1,-6.28
20121207,-4.5,23.8,77.7,-4.55
20121208,-7.8,18,43.4,-7.79
20121209,-10.4,13.2,46.1,-10.42
20121210,-8.5,16.8,50.6,-8.45
20121211,-6.6,20.1,55.5,-6.6
20121212,-5.1,22.8,56.6,-5.12
20121213,-1.9,28.5,56.4,-1.94
20121214,2.4,36.3,77.1,2.39
20121215,4.8,40.7,78.1,4.82
20121216,1.7,35,77.1,1.67
20121217,0.1,32.1,66.8,0.08
20121218,-6.5,20.3,50,-6.51
20121219,-7.1,19.2,45.3,-7.13
20121220,-3.7,25.3,49.8,-3.71
20121221,-0.8,30.6,62.6,-0.78
20121222,-2.7,27.1,69.3,-2.72
20121223,-8.4,16.9,53.2,-8.36
20121224,-9.3,15.2,51,-9.33
20121225,-8.1,17.4,53.3,-8.14
20121226,-11,12.1,33.4,-11.04
20121227,-6.3,20.6,45.1,-6.32
20121228,-1.1,30,57.9,-1.11
20121229,-0.4,31.3,83.1,-0.4
20121230,-7.3,18.8,58,-7.33
20121231,-8.9,15.9,46.6,-8.92
20130101,-4.7,23.5,69.9,-4.74
20130102,-10.9,12.4,44,-10.9
20130103,-13.4,7.9,42.6,-13.36
20130104,-10.9,12.4,43.8,-10.9
20130105,-7.2,19,58,-7.25
20130106,-6.2,20.9,60,-6.15
20130107,-5.2,22.6,54.2,-5.2
20130108,-4.5,23.8,55,-4.53
20130109,-8.7,16.3,40.7,-8.73
20130110,-8.5,16.8,39.1,-8.47
20130111,-3.6,25.6,49.5,-3.58
20130112,-0.1,31.8,67.1,-0.11
20130113,-0.5,31,68.4,-0.54
20130114,-1.9,28.6,61.8,-1.88
20130115,-2.3,27.9,57.3,-2.25
20130116,-2.3,27.8,63.8,-2.32
20130117,-5.8,21.5,63.5,-5.83
20130118,-4.8,23.4,51.2,-4.77
20130119,0.3,32.5,59.3,0.25
20130120,1.3,34.3,57.6,1.29
20130121,2.4,36.3,80.1,2.4
20130122,3.7,38.6,75.8,3.69
20130123,2,35.7,81,2.03
20130124,-0.3,31.5,60,-0.29
20130125,-8.7,16.3,36.5,-8.7
20130126,-9.3,15.3,36.5,-9.27
20130127,-7.5,18.4,45.1,-7.53
20130128,-4,24.8,55.9,-4.03
20130129,1.9,35.4,62.2,1.88
20130130,5.4,41.8,67.9,5.44
20130131,7.3,45.2,59.5,7.33
20130201,7.8,46.1,83.1,7.83
20130202,-0.4,31.4,53.9,-0.35
20130203,-3.5,25.7,59.5,-3.52
20130204,-0.7,30.7,78.6,-0.72
20130205,-0.9,30.4,75.7,-0.87
20130206,-1.3,29.6,76.8,-1.32
20130207,-10.1,13.8,43.9,-10.12
20130208,-11.6,11.1,39.6,-11.6
20130209,-7.7,18.1,54.1,-7.71
20130210,-3.7,25.3,56.5,-3.7
20130211,-6.1,21,43.2,-6.12
20130212,-3.7,25.3,51.9,-3.75
20130213,-1.7,28.9,60.3,-1.7
20130214,0.9,33.6,60.5,0.88
20130215,-0.6,30.8,50.3,-0.65
20130216,-2.9,26.8,38,-2.89
20130217,1.9,35.5,43.7,1.93
20130218,1,33.9,50,1.04
20130219,-2.4,27.7,26.8,-2.4
20130220,-5.1,22.9,35.4,-5.08
20130221,-1.9,28.6,46,-1.9
20130222,0.7,33.2,58.8,0.68
20130223,-1.2,29.9,44.2,-1.17
20130224,1.3,34.3,43.4,1.29
20130225,3.2,37.7,38.9,3.15
20130226,4.6,40.3,53.6,4.64
20130227,3.7,38.7,71,3.75
20130228,6.1,43,55.7,6.14
20130301,1.5,34.8,59.2,1.55
20130302,-1,30.3,41.6,-0.97
20130303,0.1,32.1,50.2,0.08
20130304,3,37.5,58.3,3.04
20130305,3.5,38.4,51.1,3.54
20130306,7.3,45.1,45.8,7.28
20130307,8.6,47.6,68.3,8.64
20130308,8.3,46.9,66.9,8.3
20130309,13.1,55.7,51.1,13.14
20130310,1.9,35.4,32.8,1.88
